Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Авдєєнко,Людмила,Леопольдівна,жінка,1966-11-23,Гінеколог,селище Кипуче,"набережна Черкаська, буд. 09 кв. 24, Монастириська, 41271",+380 (69) 771-50-19,ostap31@example.net
Ісаєнко,Аліна,Тимофіївна,жінка,1987-08-16,Патологоанатом,селище Гнівань,"вулиця Сосюри, буд. 825, Моспине, 41820",196-34-39,zhurbamarko@example.com
Андрійович,Мартин,Валентинович,чоловік,1944-05-08,Будник,хутір Бунге ,"площа Черепанових 2-й, буд. 848, Пирятин, 20488",072 699-17-39,qishchenko@example.org
Ніколюк,Леопольд,Орестович,чоловік,1963-08-26,Історик,село Синельникове,"шосе Амбулаторний 2-й, буд. 830 кв. 60, Тлумач, 58887",544 72 38,zarudnabohdanna@example.net
Слюсар,Пармен,Григорійович,чоловік,1984-12-14,Ґрунтознавець,місто Путивль,"вулиця Садовий, буд. 8 кв. 19, Ізмаїл, 95955",879 75 70,myroslavdzyndra@example.net
Бандурка,Марина,Ігнатівна,жінка,1950-02-20,Прокурор,місто Броди,"проспект Наклонна, буд. 66 кв. 88, Святогірськ, 08242",+380 42 836-11-40,nestoraleksiichuk@example.net
Гунько,Ігор,Іванович,чоловік,1946-10-07,Пілот,місто Голубівка,"провулок Вокзальна, буд. 03 кв. 84, Мирноград, 18999",608-94-92,tereza16@example.net
Ляшко,Орхип,Пантелеймонович,чоловік,1971-09-01,Біолог,хутір Бучач,"шосе Небесної Сотні, буд. 8, Чернігів, 86587",920-66-82,azarazhazha@example.org
Сімашкевич,Хома,Петрович,чоловік,1990-11-11,Гицель,хутір Дубно,"сквер Привокзальна, буд. 16 кв. 699, Торецьк, 36872",025 228 01 90,iustymteslia@example.net
Христенко,Еріка,Володимирівна,жінка,1962-10-22,Гірничий інженер,селище Устилуг,"сквер Баркасний, буд. 5 кв. 562, Хмельницький, 01807",002 902-29-79,orest03@example.org
Лисенко,Людмила,Ігнатівна,жінка,1943-09-20,Музикознавець,село Краматорськ,"проспект Іванова Ігоря, буд. 281, Радивилів, 82222",000 669-39-58,sviatoslav04@example.com
Зайченко,Гаврило,Климентович,чоловік,1976-02-02,Геолог,селище Баштанка,"площа Декабристів, буд. 8 кв. 3, Олександрівськ, 85424",+380 08 787-49-45,odarka91@example.org
Лисенко,Олекса,Миколайович,чоловік,1948-10-11,Економіст,місто Миколаїв,"вулиця Тополиний, буд. 9, Петрово-Красносілля, 44367",+380 70 818 00 88,prokopovychhennadii@example.net
Зайченко,Левко,Ігнатович,чоловік,1939-07-30,Детектив,місто Знам'янка,"вулиця Сміливий, буд. 15, Євпаторія, 65145",146-88-55,zubkomarta@example.net
Шухевич,Устим,Панасович,чоловік,2001-05-20,Перекладач,селище Ковель,"шосе Строганов міст, буд. 46 кв. 36, Горішні Плавні, 45334",079 248-63-25,oleksandrkhudiak@example.org
Чумаченко,Анжела,Федорівна,жінка,1992-11-14,Музикознавець,хутір Вознесенівка,"сквер 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 863 кв. 464, Українка , 25120",+380 53 303-37-59,rudykiosyp@example.com
Журавель,Василина,Богуславівна,жінка,1964-11-14,Бібліограф,місто Овруч,"шосе Селекційний, буд. 5, Корюківка, 22347",120-86-94,olha48@example.org
Запорожець,Адам,Віталійович,чоловік,1960-03-30,Ботанік,селище Новоазовськ,"набережна Лузанівка, буд. 34 кв. 61, Тисмениця, 99449",067 259 55 38,skybazlatoslava@example.net
Зінченко,Василина,Панасівна,жінка,1990-02-14,Складальник,село Чернівці,"шосе Ляпунова, буд. 051 кв. 4, Федорівка, 61401",130 13 06,vdrobakha@example.net
Івасюк,Станіслав,Соломонович,чоловік,1995-02-27,Графік,селище Таврійськ,"набережна Немировича-Данченка, буд. 9 кв. 77, Павлоград, 35064",+380 57 568 56 56,volodymyr76@example.net
Яремко,Георгій,Ігнатович,чоловік,1994-10-19,Пекар,місто Боярка,"набережна Гагаріна, буд. 505 кв. 09, Тиврів, 87348",+380 (45) 663-56-49,herman36@example.com
Баранник,Арсен,Антонович,чоловік,1976-05-31,Промисловець,селище Саки ,"провулок Гонтаренко, буд. 1, Виноградів, 14212",079 965 11 79,nataliia80@example.org
Савенко,Григорій,Охрімович,чоловік,1999-10-18,Випробувач,місто Новоселиця,"площа Аеродромний 1-й, буд. 384 кв. 46, Алмазна, 86652",+380 30 470-25-81,symon72@example.org
Гайдай,Устим,Арсенович,чоловік,1986-05-19,Візажист,селище Славутич,"парк Бабеля, буд. 8 кв. 8, Виноградів, 87367",+380 36 801-96-04,xbakumenko@example.net
Смик,Надія,Олегівна,жінка,1986-11-12,Педагог,місто Новодружеськ,"парк Промислова, буд. 14, Монастириська, 01756",125 61 82,mandriiovych@example.org
Рябченко,Петро,Миколайович,чоловік,1993-08-25,Дизайнер,хутір Мукачево,"сквер Стражеска Миколи, буд. 8 кв. 95, Рубіжне, 91159",418-99-07,zorian01@example.org
Шиян,Василь,Болеславович,чоловік,1961-01-06,Випробувач,хутір Дубно,"набережна Новоселів, буд. 125 кв. 484, Ніжин, 05253",+380 91 686-16-21,batiukteodor@example.com
Фоменко,Єфрем,Єлисейович,чоловік,1958-01-27,Детектив,селище Кремінна,"площа Товарний, буд. 625 кв. 159, Зугрес, 52491",+380 30 025-20-09,kmalyshko@example.com
Мазепа,Яків,Григорійович,чоловік,2001-10-29,Геофізик,село Яворів,"набережна Єнісейська, буд. 8, Яремче, 39400",+380 65 886-42-11,baklaniarema@example.com
Бгиденко,Єфрем,Зорянович,чоловік,1972-08-29,Піаніст,місто Борзна,"площа Полуничний, буд. 0 кв. 7, Зіньків, 79745",029 242-33-16,skovaliuk@example.org
Рубан,Демʼян,Захарович,чоловік,1992-10-15,Мовознавець,місто Білицьке,"проспект Республіканська, буд. 9, Одеса, 46842",+380 23 163-12-05,oberemkonadiia@example.com
Ященко,Ярема,Святославович,чоловік,1969-06-05,Мінералог,село Чоп,"сквер Дальня, буд. 16, Сторожинець, 31114",+380 67 623 77 79,priska91@example.com
Данчук,Амалія,Альбертівна,жінка,1940-08-06,Няня,хутір Березівка,"проспект Сабанєєв, буд. 81 кв. 15, Сарни, 83466",+380 60 456 86 31,khrystyna33@example.net
Якименко,Богуслав,Симонович,чоловік,1942-07-10,Мікробіолог,місто Апостолове,"провулок Сабанський, буд. 0 кв. 49, Чоп, 68582",007 815-69-81,nalekseienko@example.net
Ґереґа,Назар,Юхимович,чоловік,1960-05-10,Різноробочий,місто Нововолинськ,"узвіз Каховський, буд. 350, Знам'янка, 90835",088 708-51-55,iarematsiutsiura@example.com
Дзюба,Варфоломій,Тимофійович,чоловік,1947-04-30,Фольклорист,селище Дебальцеве,"провулок Виноградна 3-тя, буд. 416, Інкерман, 75532",915-45-44,milenaandriichuk@example.org
Полтавець,Пріска,Андріївна,жінка,1954-09-27,Стропальник,хутір Подільськ,"набережна Керченський 3-й, буд. 6 кв. 702, Сєвєродонецьк, 42820",+380 73 990-92-60,kzhadan@example.net
Кибкало,Юстина,Валеріївна,жінка,1990-02-13,Слідчий,село Миколаїв,"вулиця Академіка Ясиновського, буд. 454 кв. 889, Кодима, 12389",+380 68 433-05-63,hennadiistus@example.org
Гайдамака,Варвара,Костянтинівна,жінка,1962-10-23,Намотувальник,хутір Ворожба,"узвіз Чорноморський 6-й, буд. 67 кв. 8, Курахове, 75920",+380 20 992-57-80,obandura@example.com
Засенко,Геннадій,Леонідович,чоловік,1999-12-30,Астрофізик,село Нове Давидково,"сквер Проектований 4-й, буд. 7, Бахмач, 63578",703 70 75,azasiadko@example.org
Швайка,Орхип,Станіславович,чоловік,1989-08-01,Кінокритик,хутір Жовква,"шосе Краснова, буд. 00, Кремінна, 81863",+380 (14) 576-68-44,ivanenkomykolai@example.net
Цибуленко,Ярослав,Яковович,чоловік,1988-06-02,Круп'є,село Чортків,"провулок Рибальський, буд. 652 кв. 920, Дніпрорудне, 03429",+380 02 143 97 82,sviatoslava85@example.com
Яремків,Олена,Болеславівна,жінка,1939-07-18,Фармацевт,село Середина-Буда,"проспект Північна, буд. 329, Сулимівка (Слов'янськ), 21011",068 879 07 62,nataliia32@example.net
Сірко,Левко,Алевтинович,чоловік,1943-08-02,Краєзнавець,селище Нова Одеса,"узвіз Черкаська, буд. 125 кв. 13, Ялта, 61418",+380 (84) 365-90-60,nazar41@example.com
Жаліло,Михайлина,Владиславівна,жінка,1996-07-04,Хореограф,селище Київ,"вулиця Овідіопольська дорога, буд. 79 кв. 0, Немирів, 53778",072 639 69 82,albinariabchenko@example.net
Шинкаренко,Альберт,Станіславович,чоловік,1961-04-03,Кухар,селище Рогатин,"площа Тарутинська, буд. 19 кв. 221, Тиврів, 71440",+380 44 342-67-66,sviatoslav91@example.net
Демʼяненко,Олесь,Богданович,чоловік,1974-01-20,Гицель,місто Гайсин,"провулок Макаренка, буд. 300 кв. 9, Гуляйполе, 11958",+380 91 409-44-62,shevchenkoklavdiia@example.com
Чекалюк,Прохір,Симонович,чоловік,2007-08-18,Фотограф,село Надвірна,"вулиця Сонячна, буд. 08, Новояворівськ, 55109",+380 86 312-64-67,jbatih@example.org
Цимбал,Прохір,Стефанович,чоловік,1998-12-27,Співак,хутір Тиврів,"шосе Ватманський, буд. 341 кв. 02, Южноукраїнськ, 03396",+380 (95) 995-85-40,bsahal@example.net
Цушко,Гордій,Захарович,чоловік,1973-12-07,Стоматолог,хутір Герца,"проспект Березовий, буд. 12 кв. 985, Боярка, 14384",+380 22 649-44-23,ovlasiuk@example.com
Кащенко,Ігор,Олесьович,чоловік,1994-11-28,Кінолог,селище Охтирка,"набережна 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 5, Гнівань, 74530",073 302-29-44,leon58@example.com
Лубенець,Станіслав,Валерійович,чоловік,1961-12-09,Медик,селище Нова Одеса,"проспект Квіткова, буд. 46 кв. 9, Комарно, 96079",+380 70 016-23-65,vhavriushenko@example.net
Гавриш,Борис,Аркадійович,чоловік,1945-05-08,Клавішник,село Суходільськ,"сквер Софії Перовської, буд. 21, Чистякове, 22316",+380 93 712 63 86,pieresko@example.org
Бандурка,Людмила,Лесівна,жінка,1995-07-05,Шериф,селище Богуслав,"площа 4-та Суворовська, буд. 01, Новий Калинів, 50215",+380 50 008 70 02,ihnatmykhailychenko@example.net
Вертипорох,Марина,Богданівна,жінка,1950-04-14,Актор,селище Енергодар,"вулиця Князівський, буд. 378, Чуднів, 54731",076 761 62 39,emiliiabandura@example.net
Швачка,Святослав,Макарович,чоловік,1967-11-11,Хореограф,місто Перечин,"проспект Іванова 1-й, буд. 051, Пустомити, 40473",065 567 04 30,havrylo38@example.net
Вертипорох,Віктор,Охрімович,чоловік,1999-10-10,Палеонтолог,місто Роздільна,"проспект Рельєфна, буд. 8 кв. 9, Полтава, 61547",727 48 98,konoplenkoviktoriia@example.net
Остапчук,Анжела,Ааронівна,жінка,1993-10-16,Музичний редактор,місто Немирів,"узвіз Моторний 1-й, буд. 833 кв. 9, Лутугине, 31109",016 073-13-74,darynamamchur@example.com
Пушкар,Стефан,Валерійович,чоловік,1953-02-13,Мікробіолог,село Комарно,"узвіз Пастера, буд. 7, Єнакієве, 89024",+380 (42) 625-96-57,stefan29@example.org
Малик,Тарас,Веніяминович,чоловік,1970-09-13,Математик,хутір Алупка,"проспект Вознесенський, буд. 30 кв. 10, Мостиська, 44053",094-62-28,svitlanataran@example.net
Ященко,Симон,Сергійович,чоловік,1945-09-25,Геофізик,село Переяслав,"парк Лінія 30-та, буд. 1, Долинська, 01957",098 848 23 97,havryloriabchenko@example.org
Дутка,Ігнат,Геннадійович,чоловік,1948-03-14,Модель,хутір Коломия,"площа Чайковського, буд. 789, Носівка, 50613",016 382 19 41,oles04@example.net
Івасюк,Нестор,Демʼянович,чоловік,1942-05-20,Науковець,місто Галич,"парк Нафтовиків, буд. 121 кв. 1, Новогродівка, 64630",+380 17 585 89 89,chekaliukvenedykt@example.net
Сімашкевич,Марія,Адамівна,жінка,1971-06-28,Науковець,хутір Довжанськ,"провулок Тимірязєва 5-й, буд. 052, Добропілля, 44859",054 727-41-49,poltavetsdanna@example.net
Козак,Кирило,Симонович,чоловік,2004-01-15,Історик,хутір Полтава,"набережна Варненська, буд. 655, Гребінка, 29836",057 475-03-45,zakhar07@example.net
Девдюк,Демид,Сергійович,чоловік,1991-09-23,Візажист,хутір Мирноград,"набережна Вернидуба, буд. 979 кв. 24, Керч, 70825",+380 22 437-19-25,mkolisnychenko@example.org
Калениченко,Тарас,Олексович,чоловік,1989-02-04,Електротехнік,селище Кременець,"вулиця Кісельова Ігоря, буд. 624, Хрестівка, 27101",005 930-41-91,marusiabebeshko@example.com
Макаренко,Августин,Павлович,чоловік,1998-02-26,Різноробочий,місто Красноград,"набережна Рекордний, буд. 0, Радомишль, 47225",+380 67 125-55-30,vlasenkodan@example.org
Годунок,Сніжана,Валентинівна,жінка,1967-02-10,Електрослюсар,місто Суми,"сквер Єнісейська, буд. 811 кв. 94, Козятин, 70716",+380 57 588-32-77,rivanenko@example.com
Вовк,Варвара,Варфоломіївна,жінка,1967-01-06,Палеонтолог,місто Авдіївка,"провулок Восьмого Березня Лінія 3-тя, буд. 8, Селидове, 12135",905-40-57,artemenkokhoma@example.org
Дутка,Марта,Пилипівна,жінка,1976-03-20,Історик,селище Зугрес,"набережна Сільськогосподарський, буд. 40 кв. 067, Золочів, 68893",055 016 50 60,skylymnyk@example.com
Рева,Амалія,Сергіївна,жінка,1969-09-23,Географ,село Сколе,"узвіз Пляжна, буд. 4, Петрово-Красносілля, 76584",044 796-21-63,jkonoplia@example.net
Абрамчук,Ліза,Геннадіївна,жінка,1962-10-15,Шериф,село Ізяслав,"узвіз Іванівська, буд. 796, Жидачів, 98725",003 158 39 48,adam14@example.com
Ільєнко,Венедикт,Богданович,чоловік,1986-08-13,Етнограф,хутір Вуглегірськ,"шосе Терещенка Володимира, буд. 11, Лубни, 98758",050 898 99 18,larysa77@example.org
Мазур,Орися,Макарівна,жінка,1946-03-22,Гінеколог,село Вижниця,"сквер Шевченка парк, буд. 2, Теребовля, 98549",+380 60 551-43-24,volodymyr59@example.com
Верес,Артем,Мартинович,чоловік,1975-06-04,Палеонтолог,село Старокостянтинів,"площа Мала Садова, буд. 470, Новомиргород, 56947",088 844-55-72,sheremetadam@example.org
Оробець,Ірена,Марківна,жінка,2001-04-04,Юрист,місто Алмазна,"вулиця Ліверпульський, буд. 67 кв. 674, Мелітополь, 90053",+380 (25) 235-63-59,alysenko@example.net
Архимович,Семен,Йосипович,чоловік,1970-08-29,Золотар,селище Новомиргород,"сквер Городня, буд. 3 кв. 6, Гадяч, 33688",+380 (33) 356-26-98,bebeshkofrants@example.com
Базавлученко,Ігор,Святославович,чоловік,1948-05-02,Професор,село Калуш,"парк Ракетна, буд. 63, Славута, 52532",060 214-69-10,panas21@example.net
Євтушенко,Борис,Варфоломійович,чоловік,1964-08-14,Бібліограф,хутір Єнакієве,"вулиця 7-ма Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 2, Турка, 38809",061 336 02 37,oandroshchuk@example.net
Ісаєнко,Прохір,Амвросійович,чоловік,2002-02-05,Науковець,селище Гайворон,"шосе Санаторний, буд. 3, Гайворон, 28617",932-74-06,solomiia19@example.com
Сацюк,Орхип,Едуардович,чоловік,1969-07-01,Електрик,село Молодогвардійськ,"проспект Пересипська 8-ма, буд. 9 кв. 74, Берислав, 21560",081 672-23-39,sviatoslav63@example.org
Затовканюк,Мартин,Богуславович,чоловік,1987-03-27,Публіцист,селище П'ятихатки,"узвіз Вапняний 3-й, буд. 7, Соснівка , 02613",373-80-73,dkabanenko@example.com
Андріїшин,Трохим,Валерійович,чоловік,1963-01-17,Акушер,селище Дрогобич,"провулок Івана Вазова, буд. 91 кв. 316, Бучач, 26508",+380 24 788 83 23,omelianstus@example.net
Їжак,Лесь,Зорянович,чоловік,1944-01-12,Доцент,місто Зіньків,"вулиця Армійська, буд. 54, Сніжне, 33132",419 95 97,vermenychmarko@example.org
Барабаш,Леопольд,Валерійович,чоловік,1969-06-28,Парфюмер,село Кам'янка-Бузька,"шосе Гвардійська, буд. 3 кв. 21, Кобеляки, 03116",+380 90 550-39-94,mykolai99@example.com
Колісниченко,Нестор,Макарович,чоловік,1958-06-09,Антрополог,село Українка ,"набережна Перепечка, буд. 227 кв. 4, Сколе, 94779",082 68 62,ielyseitsisyk@example.net
Чарниш,Володимира,Тарасівна,жінка,1961-02-21,Мінералог,селище Керч,"парк Розумовський 2-й, буд. 681 кв. 2, Вугледар, 93443",+380 48 420-21-26,iefremartiushenko@example.com
Дерегус,Леонід,Глібович,чоловік,1976-06-09,Підприємець,місто Сколе,"шосе Амундсена, 1-й, буд. 12 кв. 671, Татарбунари, 21563",237-06-73,vadym15@example.org
Стець,Аркадій,Юхимович,чоловік,1958-02-06,Фольклорист,село Тячів,"узвіз Пересипський міст, буд. 71 кв. 3, Берислав, 27930",+380 53 879-92-50,marynaartiukh@example.net
Абрамчук,Леонід,Степанович,чоловік,1947-10-30,Державний службовець,село Часів Яр,"шосе Куликове поле, буд. 7, Севастополь, 81889",197 97 01,zynovii72@example.net
Михалюк,Святослава,Адамівна,жінка,1954-01-05,Філолог,село Рудки,"площа Залізничний 3-й, буд. 666, Белз, 32575",+380 (07) 289-51-91,lsliusar@example.net
Піддубна,Богуслава,Григоріївна,жінка,1979-07-22,Бізнесмен,село Яворів,"парк Житкова, буд. 902 кв. 737, Добромиль, 75828",+380 74 849-50-57,sofiiahaidai@example.net
Гречаник,Лукʼян,Яковович,чоловік,1942-03-20,Паблік рилейшнз,хутір Узин,"парк 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 9, Євпаторія, 84048",862-65-55,hvobla@example.com
Запорожець,Єлисавета,Соломонівна,жінка,1961-09-24,Кінолог,селище Корсунь-Шевченківський,"сквер Бессарабська, буд. 31, Ківерці, 12151",021 987 99 54,ychaika@example.com
Опанасенко,Федір,Станіславович,чоловік,2006-01-14,Редактор,селище Борзна,"узвіз Шебелінський, буд. 81 кв. 8, Родинське, 55473",327-42-65,adampustovit@example.net
Вернигора,Любов,Панасівна,жінка,1989-07-14,Адвокат,місто Жданівка,"вулиця Смоленська, буд. 0 кв. 59, Вуглегірськ, 81999",021 841-96-20,viktoriia38@example.com
Верхола,Симон,Вікторович,чоловік,1964-11-11,Живописець,хутір Помічна,"проспект Приморський, буд. 25, Ананьїв, 26394",+380 36 909 75 38,zynovii35@example.com
Гузій,Орина,Соломонівна,жінка,1985-12-25,Фотограф,селище П'ятихатки,"набережна Соляний 3-й, буд. 49 кв. 3, Святогірськ, 44283",080 100-89-29,svitlana01@example.net
Мамчур,Єва,Аркадіївна,жінка,1969-08-24,Фольклорист,хутір Подільськ,"провулок Зоопаркова, буд. 386 кв. 3, Лутугине, 26951",345-83-05,viraonishchuk@example.com
Кибкало,Юстина,Гордіївна,жінка,1967-11-06,Євнух,хутір Вилкове,"вулиця Куликове поле, буд. 0 кв. 962, Чортків, 94845",040-64-00,liliiakalchenko@example.net
Власюк,Пармен,Петрович,чоловік,1989-04-21,Економіст,село Кипуче,"узвіз Софіївська, буд. 2, Саки , 90738",540 20 29,kmykhailiuk@example.org
Симоненко,Стефан,Гаврилович,чоловік,2008-07-25,Штукатур,хутір Дніпро ,"провулок Павлова, буд. 08, Городище , 57419",+380 (48) 019-78-25,andriishynsolomon@example.com
Юрчишин,Єва,Валеріївна,жінка,1938-12-21,Кіноактор,селище Малин,"проспект Побратимів, буд. 59, Новояворівськ, 92251",006 510-24-77,drozdenkolevko@example.org
Дрозд,Семен,Юстимович,чоловік,1959-10-08,Футболіст,місто Старобільськ,"проспект Василя Кандинського 4-й, буд. 7, Торецьк, 63070",+380 65 085 18 47,odarka56@example.com
Базавлученко,Іван,Зиновійович,чоловік,1980-11-24,Електромонтер,місто Умань,"сквер Трудових резервів, буд. 5 кв. 3, Вознесенськ, 24790",445-44-66,aprykhodko@example.net
Гавриленко,Наталія,Назарівна,жінка,1952-07-10,Фармацевт,село Шпола,"проспект Жаботинського, буд. 334, Харків, 54003",783 75 72,boryslav85@example.com
Ісаєнко,Руслан,Венедиктович,чоловік,1987-05-08,Гицель,хутір Богуслав,"вулиця Залізнична, буд. 603, Ромни, 34974",811-62-54,iryna68@example.net
Ґоляш,Теодор,Макарович,чоловік,2006-04-27,Палеонтолог,хутір Сватове,"узвіз 18-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Городня, 79086",+380 87 532 63 28,ichornovil@example.com
Величко,Орися,Богданівна,жінка,1950-07-04,Редактор,село Карлівка,"набережна Петра Лещенка, буд. 7, Могилів-Подільський, 65971",061 823-30-26,oleksandrdrobakha@example.com
Пилипенко,Василина,Спасівна,жінка,1976-10-17,Літературознавець,місто Новоазовськ,"шосе Савранська, буд. 823 кв. 344, Миколаїв, 70164",+380 21 567 62 31,nazarriabets@example.com
Уманець,Омелян,Арсенович,чоловік,1997-11-15,Льотчик,місто Попасна,"шосе Макаренка, буд. 0 кв. 09, Баранівка, 33435",510 48 10,kievdokymenko@example.org
Симоненко,Варфоломій,Русланович,чоловік,1968-07-24,Письменник,хутір Соснівка ,"узвіз Рівний, буд. 133, Гадяч, 93779",097 142-52-48,okseniiasomko@example.net
Байдак,Болеслав,Геннадійович,чоловік,1987-06-30,Графік,місто Рава-Руська,"шосе Новікова 2-га, буд. 6, Білозерське, 22783",+380 (35) 442-01-72,ielyseinikoliuk@example.org
Ґалаґан,Стефан,Євгенійович,чоловік,1944-06-29,Письменник,село Чорнобиль,"проспект Немировича-Данченка, буд. 797 кв. 308, Рогатин, 88484",+380 47 964 72 66,avhustynbandura@example.org
Заїка,Тимофій,Володимирович,чоловік,1949-01-29,Реабілітолог,місто Пологи ,"парк Рівний, буд. 8, Біляївка, 51083",+380 06 935-71-05,khudiakdemyd@example.org
Єщенко,Леонід,Антонович,чоловік,1969-01-02,Музикант,місто Новгород-Сіверський,"проспект Красива, буд. 2 кв. 51, Вінниця, 63606",777-98-61,dlukash@example.org
Шеремета,Марта,Артемівна,жінка,1967-04-09,Програміст,місто Петрово-Красносілля,"проспект Балтський 5-й, буд. 280 кв. 109, Рудки, 15413",+380 67 619-12-07,qilchenko@example.org
Шутько,Ірина,Макарівна,жінка,1993-12-15,Клавішник,село Моршин,"проспект Коцебу міст, буд. 352 кв. 69, Деражня, 36685",041 392 68 51,hzatula@example.net
Баранець,Климент,Геннадійович,чоловік,1940-01-12,Вчитель,селище Ізюм,"сквер Обільний 2-й, буд. 4, Мукачево, 03794",+380 (76) 183-49-56,okadeniuk@example.com
Носенко,Ада,Мирославівна,жінка,1982-01-06,Математик,селище Красноград,"провулок Людмили Гінзбург, буд. 16, Гола Пристань, 54090",+380 71 150 17 15,azhazhaoleksa@example.com
Ващук,Марія,Тимофіївна,жінка,1943-04-30,Редактор,селище Костянтинівка,"парк Жасминна, буд. 485 кв. 4, Горохів, 14721",791-33-84,valentyn30@example.net
Баран,Едита,Спасівна,жінка,1977-02-09,Музикант,село Лозова ,"сквер Шухевича Романа, буд. 7, Бунге , 07698",+380 60 806 70 22,pylypdeineko@example.net
Зубко,Варвара,Макарівна,жінка,1954-08-24,Медик,селище Мирноград,"узвіз Вапняний 3-й, буд. 744 кв. 901, Старобільськ, 36696",008 240 40 48,xavramenko@example.org
Бараник,Орест,Миронович,чоловік,2000-01-21,Музичний редактор,село Узин,"шосе Обривиста, буд. 310 кв. 9, Калинівка , 39564",980 87 05,lizatarasenko@example.org
Чміль,Світлана,Альбертівна,жінка,1981-04-27,Стоматолог,село Ворожба,"площа Львівський, буд. 33, Моршин, 28011",+380 84 889-94-74,jchubai@example.net
Карпа,Валентина,Макарівна,жінка,1983-07-01,Паблік рилейшнз,хутір Броди,"парк Амурський 1-й, буд. 426 кв. 4, Обухів, 45108",017 268 09 74,badamenko@example.com
Дубенко,Дан,Русланович,чоловік,1949-09-23,Інженер,місто Решетилівка,"набережна Заводська 4-та, буд. 1, Гола Пристань, 74476",+380 37 281 36 79,edytaradchenko@example.net
Цушко,Ростислав,Кирилович,чоловік,1949-04-04,Мірошник,місто Чугуїв,"площа Цегельнозаводська, буд. 87, Луцьк, 90934",+380 09 594-62-28,ikhrystych@example.net
Коваленко,Пріска,Германівна,жінка,2005-11-30,Історик,хутір Корюківка,"парк Вчительської, 2-й, буд. 02 кв. 150, Борзна, 95508",+380 (56) 432-37-79,tsushkopanteleimon@example.com
Литвиненко,Надія,Августинівна,жінка,1992-07-05,Бізнесмен,село Радивилів,"сквер Аеропортівська, буд. 896 кв. 14, Суходільськ, 89792",+380 (53) 096-95-49,polifirenko@example.net
Кармалюк,Юстина,Андріївна,жінка,2007-02-05,Письменник,селище Глухів,"парк Заводська 2-га, буд. 4 кв. 19, Біляївка, 63032",+380 98 238-80-26,satsiuksnizhana@example.com
Дейнека,Богодар,Владиславович,чоловік,1998-06-15,Астрофізик,селище Покров,"набережна Шампанський, буд. 660, Нетішин, 77725",+380 44 330-78-48,mievtushenko@example.com
Твердохліб,Герман,Гаврилович,чоловік,1998-12-24,Модель,село Люботин,"узвіз Катерининська, буд. 54 кв. 954, Чистякове, 48247",023 910-91-71,antonisaievych@example.net
Гриценко,Станіслав,Леонтійович,чоловік,1989-02-16,Ґрунтознавець,село Ланівці,"площа Середньофонтанська, буд. 304, Устилуг, 36796",086 509-11-42,demydvasylevych@example.net
Вівчаренко,Устим,Юстимович,чоловік,1955-02-20,Дипломат,місто Збараж,"вулиця Депутатський, буд. 686, Трускавець, 10218",+380 52 849-92-63,akymenkoleontii@example.com
Адаменко,Святослава,Григоріївна,жінка,1960-12-05,Нотаріус,хутір Маріуполь,"шосе Уральська, буд. 315 кв. 7, Подільськ, 64925",+380 62 715 71 16,charnyshiaroslava@example.com
Чумак,Костянтин,Леонтійович,чоловік,2004-01-16,Гінеколог,селище Умань,"площа Локальна, буд. 362, Прип'ять , 02340",+380 22 856-32-22,konopliabohdanna@example.net
Дерегус,Тереза,Семенівна,жінка,1968-01-12,Драматург,селище Підгайці,"набережна Басейна, буд. 79, Львів, 82150",+380 (95) 768-33-27,dmytro18@example.org
Євдокименко,Розалія,Прохорівна,жінка,1986-05-09,Математик,селище Сторожинець,"проспект Гвардійська, буд. 916, Алчевськ, 94604",+380 63 907-46-29,zholyk@example.net
Верменич,Ада,Станіславівна,жінка,1965-03-25,Біолог,місто Біла Церква,"парк 9-та Лінія Дачі Ковалевського, буд. 6, Запоріжжя, 80884",+380 38 532-00-97,pylypenkomykolai@example.org
Гавришкевич,Валерій,Леопольдович,чоловік,1987-01-20,Кушнір,хутір Родинське,"набережна Зарічна, буд. 094, Соледар, 95686",052 913 55 92,epiddubna@example.org
Лисенко,Еріка,Петрівна,жінка,1938-10-25,Гінеколог,хутір Пустомити,"площа 1-й Академічний тупик, буд. 857, Дубно, 30278",796-03-87,eiesypenko@example.org
Христенко,Тарас,Антонович,чоловік,2001-03-21,Єгер,селище Євпаторія,"сквер Новоселів, буд. 7 кв. 811, Щолкіне, 06186",057 499-06-20,tsarenkoada@example.org
Охримович,Андрій,Миколайович,чоловік,1991-10-15,Пекар,селище Судак ,"провулок Сурикова, буд. 122, Моршин, 09974",+380 71 326-26-32,omelian96@example.net
Корпанюк,Богдан,Борисович,чоловік,1989-10-20,Головний меркшейдер,хутір Рені,"парк Шостої 2-й, буд. 3 кв. 1, Старокостянтинів, 80574",041 653 39 42,drudko@example.net
Чабан,Захар,Єфремович,чоловік,1941-04-12,Електрослюсар,селище Бердянськ,"набережна Заводська, буд. 43 кв. 67, Соледар, 33193",080 804 63 01,ldemianenko@example.com
